,_0_14eves,_15_18eves,_19_30eves,_31_62eves,_63_Xeves,kerulet,nepesseg,nmar,telepules,x,y
6125,1,0,0,2,5,,8,240.0,Mosonmagyaróvár,516100.0,281800.0
6126,1,0,2,6,19,,28,280.0,Mosonmagyaróvár,516100.0,281900.0
6127,0,0,0,1,1,,2,280.0,Mosonmagyaróvár,516100.0,282000.0
6128,5,0,6,15,5,,31,260.0,Mosonmagyaróvár,516100.0,282100.0
6129,19,3,17,72,20,,131,250.0,Mosonmagyaróvár,516100.0,282200.0
6130,1,0,0,2,8,,11,260.0,Mosonmagyaróvár,516100.0,282300.0
6131,3,1,5,17,17,,43,280.0,Mosonmagyaróvár,516100.0,282400.0
6132,7,1,11,40,25,,84,270.0,Mosonmagyaróvár,516100.0,282500.0
6133,6,0,6,15,19,,46,270.0,Mosonmagyaróvár,516100.0,282600.0
6134,0,0,0,8,4,,12,270.0,Mosonmagyaróvár,516100.0,282700.0
6135,0,0,0,2,1,,3,270.0,Mosonmagyaróvár,516100.0,282800.0
6136,0,0,0,0,2,,2,270.0,Mosonmagyaróvár,516100.0,282900.0
6137,0,0,0,5,0,,5,280.0,Mosonmagyaróvár,516100.0,283100.0
6138,3,0,0,1,0,,4,230.0,Mosonmagyaróvár,516100.0,284000.0
6139,1,1,1,11,8,,22,260.0,Mosonmagyaróvár,516200.0,280900.0
6140,4,0,5,12,4,,25,260.0,Mosonmagyaróvár,516200.0,281000.0
6141,0,0,1,8,5,,14,260.0,Mosonmagyaróvár,516200.0,281300.0
6142,0,0,0,1,2,,3,260.0,Mosonmagyaróvár,516200.0,281400.0
6143,2,1,0,9,8,,20,240.0,Mosonmagyaróvár,516200.0,281500.0
6144,2,5,7,16,10,,40,260.0,Mosonmagyaróvár,516200.0,281600.0
6145,4,0,1,10,5,,20,230.0,Mosonmagyaróvár,516200.0,281700.0
6146,8,1,5,13,8,,35,240.0,Mosonmagyaróvár,516200.0,281800.0
6147,2,2,3,17,14,,38,280.0,Mosonmagyaróvár,516200.0,281900.0
6148,4,0,0,6,7,,17,280.0,Mosonmagyaróvár,516200.0,282000.0
6149,4,4,4,8,4,,24,260.0,Mosonmagyaróvár,516200.0,282100.0
6150,3,0,2,6,3,,14,260.0,Mosonmagyaróvár,516200.0,282200.0
6151,0,0,0,3,5,,8,260.0,Mosonmagyaróvár,516200.0,282300.0
6152,0,0,0,1,5,,6,280.0,Mosonmagyaróvár,516200.0,282400.0
6153,0,0,1,6,2,,9,270.0,Mosonmagyaróvár,516200.0,282500.0
6154,0,1,1,2,4,,8,270.0,Mosonmagyaróvár,516200.0,282600.0
6155,0,0,0,0,2,,2,240.0,Mosonmagyaróvár,516200.0,282700.0
6156,2,0,0,4,1,,7,200.0,Mosonmagyaróvár,516200.0,282800.0
6157,6,2,2,13,3,,26,200.0,Mosonmagyaróvár,516200.0,282900.0
6158,0,0,0,3,0,,3,280.0,Mosonmagyaróvár,516200.0,283000.0
6159,26,6,15,33,4,,84,260.0,Mosonmagyaróvár,516200.0,283400.0
6160,21,4,5,29,1,,60,230.0,Mosonmagyaróvár,516200.0,283500.0
6161,2,0,0,5,1,,8,360.0,Mosonmagyaróvár,516200.0,283800.0
6162,12,2,3,14,0,,31,360.0,Mosonmagyaróvár,516200.0,283900.0
6163,6,0,2,8,0,,16,360.0,Mosonmagyaróvár,516200.0,284000.0
6164,2,0,0,3,6,,11,300.0,Mosonmagyaróvár,516200.0,284100.0
